Date,Open,High,Low,Close,Adj Close,Volume
2020-05-01,null,null,null,null,null,null
2020-05-04,13693.957031,14179.312500,13555.284180,13901.966797,13901.966797,11204430
2020-05-05,13901.966797,13971.303711,13624.621094,13763.293945,13763.293945,4292659
2020-05-06,13832.630859,14075.308594,13555.284180,14005.971680,14005.971680,10995175
2020-05-07,14005.971680,14317.986328,13936.634766,14144.644531,14144.644531,11211743
2020-05-08,14352.654297,15011.350586,14283.317383,14491.327148,14491.327148,18786960
2020-05-11,14872.677734,14942.014648,14491.327148,14734.004883,14734.004883,11039048
2020-05-12,14664.667969,15115.355469,14456.659180,15011.350586,15011.350586,9629531
2020-05-13,14838.009766,15219.360352,14664.667969,15011.350586,15011.350586,10036561
2020-05-14,14838.009766,15080.687500,14803.341797,14803.341797,14803.341797,8406020
2020-05-15,14942.014648,14976.682617,14456.659180,14491.327148,14491.327148,10676974
2020-05-18,14525.995117,14803.341797,14352.654297,14803.341797,14803.341797,7506363
2020-05-19,15254.028320,15566.042969,15115.355469,15462.038086,15462.038086,15970002
2020-05-20,15254.028320,15462.038086,15184.692383,15462.038086,15462.038086,7984221
2020-05-21,15496.706055,16120.734375,15462.038086,15912.725586,15912.725586,15311200
2020-05-22,15808.720703,16363.412109,15704.715820,15808.720703,15808.720703,11648770
2020-05-25,15878.056641,16190.071289,15739.383789,15982.061523,15982.061523,9806191
2020-05-26,15982.061523,16155.403320,15843.388672,16051.398438,16051.398438,9494249
2020-05-27,16155.403320,16259.408203,15531.375000,15531.375000,15531.375000,12145104
2020-05-28,15635.378906,15912.725586,15496.706055,15635.378906,15635.378906,8679570
2020-05-29,15566.042969,15739.383789,15566.042969,15600.710938,15600.710938,5136732
2020-06-01,15808.720703,16294.076172,15739.383789,16294.076172,16294.076172,10269338
2020-06-02,16502.085938,16848.767578,16224.739258,16259.408203,16259.408203,14264363
2020-06-03,16363.412109,16675.425781,16328.744141,16640.757813,16640.757813,9954208
2020-06-04,16779.431641,17264.787109,16710.095703,17091.445313,17091.445313,12901906
